song_title,artist,popularity,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration,loudness,valence,mode
In My Feelings,"Drake,",99,0.626,0.396,91.03,0.125,0.0589,6e-05,4,0.835,1,217925,-5.833,0.35,1
breathin,"Ariana Grande,",94,0.656,0.213,100.049,0.0433,0.0211,1.37e-05,4,0.568,8,198160,-5.413,0.364,1
SICKO MODE,"Travis Scott,",98,0.73,0.124,155.008,0.222,0.00513,0,4,0.834,8,312820,-3.714,0.446,1
No Brainer,"DJ Khaled,Justin Bieber,Quavo,Chance the Rapper,",95,0.76,0.0865,135.702,0.342,0.0733,0,5,0.552,0,260000,-4.706,0.639,1
Falling Down,"Lil Peep,XXXTENTACION,",98,0.574,0.146,120.013,0.0286,0.0175,0.00294,4,0.669,4,196400,-6.442,0.273,0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake,Selena Gomez,Ozuna,Cardi B,",97,0.798,0.0618,95.948,0.229,0.153,3.33e-06,4,0.841,1,212500,-4.206,0.591,0
Better,"Khalid,",94,0.585,0.14,97.565,0.0964,0.0984,0.391,4,0.442,0,229413,-10.332,0.116,0
Better Now,"Post Malone,",96,0.563,0.136,145.028,0.0454,0.354,0,4,0.68,10,231267,-5.843,0.374,1
Lost Without You,"Freya Ridings,",80,0.137,0.0706,162.08,0.0446,0.928,0,1,0.409,6,225076,-9.169,0.106,1
Lucky You (feat. Joyner Lucas),"Eminem,Joyner Lucas,",97,0.786,0.127,153.068,0.306,0.0627,0,4,0.876,10,244679,-4.884,0.575,0
Best Life,"Hardy Caprio,One Acen,",78,0.668,0.122,106.017,0.0447,0.211,0,4,0.845,1,200265,-6.702,0.721,0
"Thunderclouds with Sia, Diplo & Labrinth","Sia,Diplo,Labrinth,LSD,",93,0.716,0.263,112.035,0.0351,0.0085,9.06e-06,4,0.691,7,187027,-5.985,0.507,1
Just Got Paid,"Sigala,Ella Eyre,Meghan Trainor,French Montana,",65,0.921,0.197,120.056,0.0863,0.0328,0,4,0.734,6,218480,-1.936,0.654,0
No Stylist,"French Montana,Drake,",90,0.704,0.227,147.055,0.127,0.0215,0,4,0.765,5,192172,-4.589,0.498,0
Nevermind,"Dennis Lloyd,",91,0.691,0.418,99.976,0.196,0.156,9.78e-06,4,0.592,3,156600,-8.354,0.0796,1
SAD!,"XXXTENTACION,",97,0.613,0.123,75.023,0.145,0.258,0.00372,4,0.74,8,166606,-4.88,0.473,1
Ay Caramba,"Stay Flee Get Lizzy,Fredo,Young T & Bugsey,",76,0.647,0.0797,139.787,0.199,0.0355,0.00373,5,0.629,1,211525,-3.791,0.531,1
Girls Like You (feat. Cardi B),"Maroon 5,Cardi B,",88,0.541,0.13,124.959,0.0505,0.568,0,4,0.851,0,235545,-6.825,0.448,1
Venom - Music From The Motion Picture,"Eminem,",88,0.794,0.543,135.959,0.064,0.0193,0,4,0.749,0,269554,-5.063,0.46,1
Moonlight,"XXXTENTACION,",96,0.537,0.102,128.009,0.0804,0.556,0.00404,4,0.921,9,135090,-5.723,0.711,0
Without Me,"Halsey,",90,0.488,0.0936,136.041,0.0705,0.297,9.11e-06,4,0.752,6,201661,-7.05,0.533,1
Killshot,"Eminem,",91,0.651,0.371,105.814,0.378,0.0989,0,4,0.892,0,253580,-8.645,0.599,0
Drip Too Hard (Lil Baby & Gunna),"Lil Baby,Gunna,",83,0.671,0.552,112.502,0.289,0.103,0,4,0.896,1,145543,-6.977,0.358,0
Rise,"Jonas Blue,Jack & Jack,",95,0.784,0.203,106.066,0.032,0.323,0,4,0.69,1,194408,-4.653,0.669,1
Youngblood,"5 Seconds of Summer,",89,0.854,0.124,120.274,0.463,0.0169,0,4,0.596,7,203418,-5.114,0.152,0
Beautiful (feat. Camila Cabello),"Bazzi,Camila Cabello,",94,0.717,0.105,100.027,0.0337,0.346,0,4,0.638,2,180000,-4.722,0.249,1
Ocean (feat. Khalid),"Martin Garrix,Khalid,",91,0.693,0.0891,139.912,0.0412,0.584,9.58e-05,4,0.506,0,216420,-7.265,0.221,0
Praise The Lord (Da Shine),"A$AP Rocky,Skepta,",92,0.569,0.1,80.02,0.136,0.0609,0.0816,4,0.85,5,205040,-8.152,0.294,0
Goodbye (feat. Nicki Minaj & Willy William),"Jason Derulo,David Guetta,Nicki Minaj,Willy William,",91,0.904,0.189,103.028,0.0739,0.0776,0,4,0.643,0,195419,-3.694,0.481,1
Butterflies,"AJ Tracey,Not3s,",77,0.685,0.115,103.949,0.125,0.259,2.92e-06,4,0.761,5,224000,-9.796,0.596,0
One Kiss (with Dua Lipa),"Calvin Harris,Dua Lipa,",94,0.862,0.0814,123.994,0.11,0.037,2.19e-05,4,0.791,9,214847,-3.24,0.592,0
This Is Me,"Keala Settle,The Greatest Showman Ensemble,",72,0.704,0.0424,191.702,0.186,0.00583,0.000115,4,0.284,2,234707,-7.276,0.1,1
This Feeling,"The Chainsmokers,Kelsea Ballerini,",91,0.571,0.0912,105.049,0.0439,0.0558,0,4,0.575,1,197947,-7.906,0.449,1
STOOPID,"6ix9ine,Bobby Shmurda,",88,0.63,0.162,149.989,0.395,0.13,0,4,0.733,11,152000,-4.296,0.832,1
Vaina Loca,"Ozuna,Manuel Turizo,",87,0.805,0.203,93.983,0.0752,0.315,0,4,0.754,6,176133,-4.249,0.555,1
BEBE,"6ix9ine,Anuel Aa,",95,0.902,0.125,102.063,0.109,0.172,0,4,0.635,0,217822,-3.559,0.286,1
FEFE (feat. Nicki Minaj & Murda Beatz),"6ix9ine,Nicki Minaj,Murda Beatz,",97,0.387,0.136,125.978,0.412,0.088,0,4,0.931,1,179405,-9.127,0.376,1
Mo Bamba,"Sheck Wes,",81,0.625,0.248,146.034,0.0315,0.194,0.00986,4,0.729,4,183907,-5.266,0.261,1
Natural,"Imagine Dragons,",95,0.612,0.08,97.773,0.0708,0.216,0,4,0.448,2,189467,-6.106,0.213,1
I Like It,"Cardi B,Bad Bunny,J Balvin,",96,0.726,0.372,136.048,0.129,0.099,0,4,0.816,5,253390,-3.998,0.65,0
Mona Lisa (feat. Kendrick Lamar),"Lil Wayne,Kendrick Lamar,",93,0.694,0.109,122.078,0.169,0.371,0,4,0.855,2,324189,-4.393,0.49,1
"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby,Gunna,Drake,",87,0.69,0.192,132.064,0.282,0.0716,0,4,0.757,1,194732,-5.327,0.914,0
Nonstop,"Drake,",94,0.412,0.104,154.983,0.124,0.0164,0.013,4,0.912,7,238614,-8.074,0.422,1
Te Boté - Remix,"Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam,",95,0.675,0.0595,96.507,0.214,0.542,1.28e-05,4,0.903,11,417920,-3.445,0.442,0
Solo (feat. Demi Lovato),"Clean Bandit,Demi Lovato,",95,0.636,0.35,105.005,0.0437,0.0441,6.66e-05,4,0.737,11,222653,-4.546,0.565,0
Noticed,"Lil Mosey,",92,0.558,0.116,79.992,0.0603,0.462,0,4,0.699,11,165000,-7.622,0.493,1
Jocelyn Flores,"XXXTENTACION,",94,0.391,0.297,134.021,0.242,0.469,4.13e-06,4,0.872,0,119133,-9.144,0.437,0
Cuando Te Besé,"Becky G,Paulo Londra,",93,0.732,0.106,100.048,0.213,0.307,5.14e-06,4,0.772,9,254383,-3.713,0.295,0
Wake Up in the Sky,"Gucci Mane,Bruno Mars,Kodak Black,",92,0.578,0.359,143.01,0.0485,0.00381,0,4,0.8,4,204665,-5.144,0.367,0
rockstar (feat. 21 Savage),"Post Malone,21 Savage,",93,0.535,0.131,159.847,0.0898,0.117,6.56e-05,4,0.587,5,218147,-6.09,0.14,0
Sweet but Psycho,"Ava Max,",87,0.704,0.166,133.002,0.0476,0.0691,0,4,0.719,1,187436,-4.724,0.628,1
Medley da Gaiola - Dennis DJ Remix,"MC Kevin o Chris,Dennis DJ,",83,0.757,0.0779,140.038,0.236,0.702,0,4,0.897,4,240000,-5.243,0.613,0
SLOW DANCING IN THE DARK,"Joji,",87,0.479,0.191,88.964,0.0261,0.544,0.00598,4,0.515,3,209274,-7.458,0.284,1
Parado no Bailão,"MC L da Vinte,MC Gury,",76,0.599,0.0775,86.533,0.149,0.381,0,5,0.828,11,171692,-1.624,0.478,1
Love Someone,"Lukas Graham,",87,0.415,0.108,172.065,0.052,0.161,0,4,0.55,9,205463,-6.557,0.274,0
You Say,"Lauren Daigle,",82,0.637,0.0882,147.924,0.0333,0.669,0,4,0.494,5,274693,-6.381,0.1,1
O Bebê,"MC Kevinho,MC Kekel,",84,0.749,0.241,165.057,0.114,0.248,0,4,0.81,6,178099,-3.734,0.795,0
Quiere Beber,"Anuel Aa,",92,0.57,0.108,95.038,0.113,0.372,0.00524,4,0.773,8,187125,-3.482,0.772,1
Lil’ Touch,"Girls' Generation-Oh!GG,",77,0.789,0.301,112.11,0.104,0.0114,0,4,0.791,11,189846,-4.694,0.669,0
Buwan,"juan karlos,",72,0.381,0.0902,126.008,0.04,0.447,0.000171,4,0.631,7,343446,-11.808,0.36,1
Sunflower - Movie Version,"Shannon Purser,",79,0.0935,0.0958,131.182,0.0438,0.924,0,4,0.694,0,108085,-13.712,0.551,1
Amigos Con Derechos,"Reik,Maluma,",90,0.807,0.0652,183.971,0.0613,0.0481,0,4,0.686,1,227476,-3.324,0.63,1
Mary Jane (Radio Edit),"Burry Soprano,",77,0.561,0.0878,122.041,0.0525,0.627,1.08e-06,4,0.871,1,180984,-7.155,0.0951,1
Bad,"Lennon Stella,",72,0.613,0.093,137.96,0.0621,0.366,1.25e-05,4,0.827,8,177973,-5.34,0.747,1
MOOO!,"Doja Cat,",74,0.407,0.111,89.011,0.233,0.461,0,4,0.878,7,286517,-10.941,0.547,1
Saudade Nível Hard,"Yasmin Santos,",82,0.811,0.33,167.922,0.127,0.0437,0,4,0.509,6,181847,-5.604,0.716,0
REEL IT IN,"Aminé,",87,0.342,0.193,128.981,0.0991,0.073,0,4,0.754,10,121347,-8.677,0.423,0
Só Pra Castigar,"Wesley Safadão,",80,0.94,0.578,124.015,0.0386,0.0201,0,4,0.681,0,163851,-1.77,0.648,1
Ciumeira - Ao Vivo,"Marília Mendonça,",86,0.813,0.797,123.842,0.0452,0.204,0,4,0.741,11,190084,-4.83,0.765,0
Sofazinho - Ao Vivo,"Luan Santana,Jorge & Mateus,",78,0.875,0.209,163.958,0.106,0.426,0,4,0.517,0,187378,-3.997,0.672,1
Culpables,"Karol G,Anuel Aa,",88,0.801,0.143,130.059,0.0683,0.279,4.71e-06,4,0.728,8,226627,-2.942,0.416,0
PPP,"Kevin Roldan,",83,0.65,0.122,92.975,0.109,0.363,8.17e-05,4,0.786,4,129040,-6.839,0.712,1
Ya No Tiene Novio,"Sebastian Yatra,Mau y Ricky,",90,0.832,0.0705,182.184,0.154,0.048,0,4,0.632,7,198933,-1.948,0.784,0
Maybe The Night,"Ben&Ben,",79,0.522,0.114,74.05,0.0367,0.113,4.91e-05,4,0.572,2,217197,-9.095,0.498,1
Sapequinha,"Lexa,MC Lan,",76,0.984,0.0632,150.086,0.286,0.211,0,4,0.677,11,134107,-3.539,0.906,0
Me Vas a Extrañar - En Vivo,"Damas Gratis,Viru Kumbieron,",76,0.809,0.699,88.418,0.0357,0.323,0,4,0.419,11,238528,-4.596,0.635,1
Hereafter,"Architects,",66,0.973,0.224,121.018,0.0849,4.58e-05,0.00326,4,0.513,6,255587,-4.115,0.159,0
REMEDY,"Alesso,",90,0.775,0.0883,119.964,0.0473,0.269,0,4,0.601,0,190295,-4.612,0.483,1
Baby Shark,"Pinkfong,",79,0.84,0.341,115.062,0.227,0.245,0,4,0.825,7,96333,-3.651,0.52,1
Siren,"SUNMI,",76,0.905,0.0592,122.012,0.0369,0.0142,0,4,0.61,9,199134,-3.686,0.521,0
Leave Me Alone,"Flipp Dinero,",88,0.743,0.183,150.024,0.0851,0.107,0,4,0.792,7,195637,-2.806,0.742,1
Trip,"Ella Mai,",88,0.605,0.138,81.047,0.075,0.214,0,4,0.717,11,217118,-5.68,0.387,0
Rescue,"Lauren Daigle,",71,0.243,0.11,92.332,0.0279,0.775,0,4,0.306,6,215613,-7.696,0.105,1
Mocca,"Lalo Ebratt,Trapical,",80,0.695,0.123,97.957,0.353,0.185,0,4,0.786,1,200293,-5.343,0.591,0
Ponle,"Rvssian,Farruko,J Balvin,",82,0.772,0.0851,94.028,0.194,0.187,0.00181,4,0.857,10,164765,-4.736,0.589,0
Celoso,"Lele Pons,",87,0.703,0.331,166.043,0.107,0.352,0,4,0.746,4,179693,-4.179,0.667,0
Contigo Siempre,"Alejandro Fernandez,Sebastian Yatra,",78,0.503,0.0978,145.945,0.0414,0.0418,0,4,0.661,7,201440,-8.508,0.731,1
Say My Name,"David Guetta,Bebe Rexha,J Balvin,",85,0.66,0.192,95.031,0.123,0.137,0,4,0.703,10,198947,-5.119,0.79,0
Love No More,"Loud Luxury,anders,",70,0.678,0.258,121.01,0.054,0.0221,4.82e-05,4,0.767,0,168636,-6.249,0.217,1
AirForce,"DIG DAT,",68,0.664,0.376,142.035,0.369,0.456,0,4,0.858,1,221545,-7.637,0.656,1
Advice,"Cadet,Deno Driz,",72,0.529,0.101,105.067,0.328,0.201,0,4,0.911,9,192571,-7.996,0.76,0
Jackie Chan,"Bantu,Dr. Chaii,",59,0.536,0.0696,108.007,0.15,0.248,7.36e-05,4,0.964,7,181943,-7.873,0.615,0
Real One,"Aseven,",58,0.577,0.152,102.028,0.0492,0.221,0.000919,4,0.758,9,185028,-6.144,0.47,0
Coming Back to You,"Naya,Tom Grennan,",51,0.787,0.0864,96.997,0.0291,0.423,0,4,0.683,9,186040,-4.099,0.502,1
Suspirium,"Thom Yorke,",68,0.217,0.134,151.002,0.032,0.989,0.905,3,0.473,1,201768,-15.662,0.441,0
Bebey (feat. Giggs) [SN1 Road Mix],"Theophilus London,Giggs,",62,0.667,0.097,164.012,0.151,0.559,4.35e-06,4,0.645,5,257259,-5.72,0.751,0
Hunt Me Down,"Ellysse Mason,",54,0.536,0.064,146.985,0.0294,0.19,0,4,0.502,1,291500,-7.185,0.138,1
Want To,"Dua Lipa,",66,0.691,0.0593,92.082,0.123,0.0788,0.000132,4,0.572,8,212040,-4.783,0.318,0
Losing It,"FISHER,",65,0.964,0.0974,125.0,0.0576,0.00182,0.7,4,0.76,2,248036,-5.844,0.641,1
Murder On My Mind,"YNW Melly,",80,0.73,0.11,115.007,0.0516,0.145,3.06e-06,4,0.759,0,268434,-7.985,0.74,0
Cheatin',"Nathan Dawe,",64,0.856,0.495,123.913,0.0336,0.00153,0,4,0.492,5,178415,-3.476,0.391,1
"Hang Up Your Hang Ups (The Only One) [feat. Kim English] - CamelPhat Remix, Edit","Paul Woolford,Kim English,CamelPhat,",58,0.976,0.277,125.03,0.0491,0.00338,0.644,4,0.469,11,206141,-5.673,0.527,0
Creep On Me,"GASHI,French Montana,DJ Snake,",84,0.597,0.197,134.598,0.14,0.347,1.03e-05,5,0.449,9,194777,-4.401,0.505,0
Entitled,"Type.Raw,",62,0.496,0.109,90.038,0.0476,0.11,0.752,4,0.736,11,128712,-9.567,0.943,0
Walk,"Comethazine,",77,0.795,0.291,160.063,0.264,0.221,0,4,0.831,1,96064,-6.186,0.744,1
Ramenez la coupe à la maison,"Vegedream,",82,0.661,0.138,107.992,0.0395,0.0358,0,4,0.808,0,235556,-6.237,0.804,0
(It Happens) Sometimes,"Jack Back,",66,0.886,0.11,122.025,0.0573,0.000431,0.00451,4,0.833,11,202276,-6.767,0.604,1
Torn,"Richard Fairlie,",54,0.49,0.127,101.585,0.119,0.204,0,4,0.537,1,184320,-7.979,0.351,1
Meu Abrigo,"Melim,",83,0.572,0.125,92.011,0.0304,0.214,0,4,0.658,3,231474,-7.527,0.741,1
Largado Às Traças - Ao Vivo,"Zé Neto & Cristiano,",84,0.869,0.535,121.996,0.0857,0.611,0,4,0.694,3,234961,-5.26,0.786,0
Só Você,"Dennis DJ,MC G15,",84,0.751,0.112,129.935,0.117,0.447,0,4,0.834,11,161444,-0.787,0.697,1
Disk Me,"Pabllo Vittar,",76,0.61,0.124,140.014,0.0447,0.141,0,4,0.761,1,173137,-5.856,0.29,1
Ao Vivo E A Cores,"Matheus & Kauan,Anitta,",80,0.526,0.147,135.032,0.0352,0.0131,0,4,0.668,5,180304,-6.174,0.42,0
Zé da Recaída,"Gusttavo Lima,",81,0.832,0.0878,135.137,0.0385,0.206,0,4,0.841,5,168459,-2.018,0.904,1
Pouca Pausa,"Clau,CortesiaDaCasa,Haikaiss,",82,0.583,0.0922,103.006,0.149,0.194,0,4,0.886,8,279757,-6.639,0.883,0
Propaganda - Ao Vivo,"Jorge & Mateus,",83,0.782,0.399,167.95,0.0605,0.381,0,4,0.614,2,141935,-4.603,0.77,1
Atrasadinha - Ao Vivo,"Felipe Araújo,Ferrugem,",74,0.844,0.866,159.969,0.109,0.498,0,4,0.676,7,172767,-3.396,0.716,1
Notificação Preferida - Ao Vivo,"Zé Neto & Cristiano,",80,0.838,0.189,156.008,0.13,0.778,0,3,0.398,8,182341,-4.734,0.206,0
Favela,"Alok,Ina Wroldsen,",82,0.812,0.0264,103.023,0.0598,0.0125,0.00233,4,0.777,2,185105,-3.206,0.283,0
Cidade Vizinha - Ao Vivo,"Henrique & Juliano,",64,0.555,0.612,94.898,0.0284,0.698,0,4,0.565,9,178904,-7.221,0.308,1
Kikadinha,"Jerry Smith,",80,0.662,0.039,184.091,0.265,0.143,0.000475,4,0.756,2,146087,-6.15,0.848,1
O Alvo - Ao Vivo,"Diego & Victor Hugo,Henrique & Juliano,",81,0.808,0.742,126.821,0.0494,0.543,0,4,0.551,10,164956,-3.367,0.505,1
Medicina,"Anitta,",86,0.784,0.149,93.96,0.0667,0.0441,0.0129,4,0.798,4,141508,-3.545,0.653,0
Não Fala Não pra Mim,"Humberto & Ronaldo,Jerry Smith,",80,0.794,0.236,157.987,0.0402,0.591,0,4,0.741,3,196613,-2.555,0.765,1
Status Que Eu Não Queria - Ao Vivo,"Zé Neto & Cristiano,",80,0.871,0.564,117.622,0.209,0.59,0,4,0.58,4,153934,-4.052,0.911,1
Romance Com Safadeza,"Wesley Safadão,Anitta,",81,0.903,0.117,155.97,0.0693,0.216,0,4,0.544,11,172655,-4.11,0.765,0
A Culpa É Dele - Ao Vivo | Acústico,"Marília Mendonça,Maiara & Maraisa,",81,0.602,0.139,125.927,0.182,0.627,0,4,0.838,7,176722,-5.973,0.729,1
Problema Seu,"Pabllo Vittar,",69,0.83,0.134,135.062,0.0367,0.014,0,4,0.872,10,162465,-5.301,0.568,0
Fuleragem,"MC WM,",81,0.836,0.113,94.979,0.0506,0.00857,0.00016,4,0.808,8,141474,-2.3,0.755,1
Amor de Verdade,"MC Kekel,MC Rita,",82,0.724,0.112,120.235,0.0851,0.138,0,5,0.638,7,197333,-7.966,0.461,1
Pra Inveja É Tchau,"Mc Kevin,Mc Davi,",80,0.341,0.0752,83.507,0.06,0.724,4.56e-05,3,0.693,0,173233,-4.706,0.51,1
Deixa (feat. Ana Gabriela) - Feat. Ana Gabriela,"Lagum,Ana Gabriela,",79,0.326,0.193,81.457,0.0631,0.821,0,4,0.498,0,176025,-8.223,0.323,1
O Sol,"Vitor Kley,",79,0.623,0.104,97.532,0.0256,0.12,0,4,0.641,6,209000,-5.641,0.65,0
Bebida Na Ferida - Ao Vivo,"Zé Neto & Cristiano,",78,0.796,0.842,126.099,0.164,0.735,0,4,0.605,1,199363,-5.195,0.51,1
Novinha Você É uma Flor,"MCs Thin e Alexandre,",80,0.469,0.0988,130.126,0.109,0.23,0,4,0.86,7,143971,-6.262,0.769,1
Ouvi Dizer,"Melim,",77,0.614,0.093,81.011,0.0532,0.0745,0,4,0.641,7,210889,-7.847,0.727,1
Coladinha em Mim - Ao Vivo,"Gustavo Mioto,Anitta,",72,0.68,0.912,188.162,0.292,0.354,0,4,0.623,6,170507,-7.255,0.643,0
Devagarinho,"Luísa Sonza,",78,0.78,0.189,102.057,0.0574,0.309,5.45e-05,4,0.797,1,137045,-6.044,0.823,0
Seu Crime,"Pabllo Vittar,",72,0.667,0.14,127.056,0.0913,0.0944,2.68e-06,4,0.788,8,154941,-5.215,0.646,0
Cada um na Sua - Ao Vivo,"Fernando & Sorocaba,",79,0.812,0.985,143.072,0.0649,0.679,0,4,0.612,1,221499,-3.031,0.624,1
É natural (Participação especial de Bruno Cardoso) - Ao vivo,"Ferrugem,Bruno Cardoso,",71,0.74,0.486,76.139,0.0447,0.531,0,4,0.497,1,207093,-5.475,0.478,0
Siga a Seta (feat. Matheus & Kauan) - Ao Vivo,"Marcos & Belutti,Matheus & Kauan,",79,0.855,0.0999,172.008,0.18,0.517,0,4,0.508,0,171693,-3.634,0.641,1
"Quem Pegou, Pegou","Henrique & Juliano,",76,0.682,0.854,104.017,0.0263,0.304,0,4,0.699,9,183888,-5.396,0.678,1
Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo,"Atitude 67,",78,0.841,0.723,162.961,0.0591,0.599,0,4,0.673,4,210387,-4.968,0.663,1
Mundo de Ilusões - Ao Vivo,"Gusttavo Lima,",79,0.925,0.379,142.008,0.0548,0.496,0,4,0.758,0,185781,-3.495,0.775,1
Sua Mãe Vai Me Amar,"Turma do Pagode,",75,0.816,0.808,163.941,0.0374,0.4,0,4,0.571,8,183759,-6.011,0.942,0
Pour Over,"Vintage Culture,Adam K,",75,0.7,0.386,176.926,0.0604,0.0021,0.00952,3,0.514,7,213559,-6.827,0.164,1
Jaloux,"Dadju,",70,0.797,0.399,139.992,0.0739,0.193,0,4,0.558,8,233986,-3.89,0.368,0
BB,"Booba,",77,0.556,0.104,130.006,0.109,0.417,1.81e-06,4,0.761,1,198373,-6.631,0.384,0
Air Max,"Rim'K,Ninho,",69,0.591,0.102,141.888,0.459,0.26,0,4,0.82,1,205867,-7.338,0.551,1
Copines,"Aya Nakamura,",81,0.778,0.112,180.033,0.092,0.289,2.36e-06,4,0.71,8,170701,-3.985,0.896,0
Sur le drapeau,"Suprême NTM,Sofiane,",74,0.902,0.318,144.038,0.287,0.189,0,4,0.763,6,199000,-5.759,0.625,0
Ma 6t a craqué (feat. Ninho),"Kpoint,Ninho,",79,0.684,0.137,89.999,0.197,0.473,1.14e-06,3,0.816,11,197597,-8.478,0.815,0
Tout oublier,"Angèle,Roméo Elvis,",72,0.542,0.247,105.005,0.197,0.493,2.75e-06,4,0.692,11,202120,-7.9,0.285,0
Train de vie,"Koba LaD,",71,0.641,0.137,146.139,0.124,0.216,0,4,0.742,0,214520,-5.585,0.418,0
Bella,"MHD,WizKid,",71,0.639,0.124,102.045,0.125,0.422,0,4,0.767,6,183745,-6.633,0.653,0
Empire,"Sofiane,Kaaris,",62,0.79,0.0882,144.017,0.211,0.0488,0,4,0.884,8,192240,-4.085,0.421,1
La C,"Koba LaD,",71,0.719,0.19,172.04,0.36,0.302,3.64e-05,4,0.767,7,183027,-6.221,0.638,0
Adieu bientôt,"Columbine,",68,0.648,0.101,140.034,0.17,0.391,0,4,0.793,8,211307,-7.612,0.249,0
Iencli,"Vald,Sofiane,",62,0.768,0.273,88.005,0.164,0.498,0,4,0.669,7,222333,-5.111,0.294,1
Moments durs,"Koba LaD,",74,0.563,0.101,119.989,0.32,0.57,4.48e-06,4,0.817,0,202213,-6.221,0.722,0
Woah,"Sofiane,Vald,Mac Tyer,Soolking,Kalash Criminel,Sadek,Heuss L'enfoiré,",73,0.777,0.647,124.001,0.386,0.211,0,4,0.935,7,250595,-4.748,0.553,1
91's,"PNL,",79,0.668,0.0778,103.036,0.107,0.249,0,4,0.777,4,237014,-8.837,0.243,0
Rolls (feat. Lacrim),"Hornet La Frappe,Lacrim,",73,0.784,0.0821,101.049,0.126,0.476,3.1e-06,4,0.789,5,212360,-7.056,0.563,0
Monégasque,"PLK,",65,0.734,0.115,74.883,0.231,0.416,0,4,0.722,6,203553,-4.583,0.612,1
La thune,"Angèle,",66,0.593,0.112,145.039,0.0532,0.526,1.09e-05,4,0.702,11,201907,-8.339,0.522,1
W.L.G,"Niska,",77,0.624,0.125,155.026,0.141,0.113,0,4,0.792,2,190452,-5.781,0.447,1
Pharmacie,"SCH,",64,0.907,0.113,139.976,0.219,0.714,0.000129,4,0.703,3,218213,-6.957,0.612,0
Taga,"Hornet La Frappe,",72,0.671,0.133,137.985,0.105,0.395,0,4,0.852,7,203467,-5.994,0.476,0
Dalida,"Soolking,",75,0.723,0.104,140.063,0.047,0.661,1.46e-05,4,0.759,7,224154,-4.66,0.467,0
Hier (feat. SCH),"PLK,SCH,",68,0.564,0.0971,139.826,0.307,0.678,0.000727,4,0.53,1,220032,-6.969,0.135,0
Balance ton quoi,"Angèle,",69,0.442,0.276,115.932,0.0823,0.594,2.39e-05,4,0.703,0,189480,-10.383,0.381,1
Moscow,"RK,",74,0.672,0.143,135.055,0.266,0.294,0,4,0.845,0,222093,-5.22,0.445,1
Oyé,"Koba LaD,",69,0.58,0.241,130.929,0.334,0.266,0,4,0.841,0,187973,-4.946,0.461,1
